Title,Type,Values,Price
Blk 149 Bishan Green,   1987,84 sqm / $591 psf(Built),535000
Blk 163 Bishan Street 13, 1988,131 sqm / $695 psf(Built),980000
Blk 109 Bishan View,   1985,104 sqm / $623 psf(Built),698000
Blk 148 Bishan Green, 1987,122 sqm / $567 psf(Built),745000
Blk 136 Bishan Green,   1987,92 sqm / $505 psf(Built),499999
Blk 111 Bishan View,   1986,90 sqm / $676 psf(Built),655000
Blk 248 Bishan Street 22,   1992,114 sqm / $529 psf(Built),650000
Blk 176 Bishan Street 13, 1988,88 sqm / $718 psf(Built),680000
Blk 185 Bishan Street 13,   1988,83 sqm / $705 psf(Built),630000
Blk 252 Bishan Street 22,   1992,104 sqm / $737 psf(Built),825000
Blk 147 Bishan Street 11, 1987,121 sqm / $692 psf(Built),900000
Blk 111 Bishan View,   1986,104 sqm / $526 psf(Built),590000
Blk 292 Bishan Street 22,   1998,100 sqm / $741 psf(Built),798000
Blk 25 Sin Ming Road,   1974,88 sqm / $480 psf(Built),455000
Blk 289 Bishan Street 24,   1998,102 sqm / $729 psf(Built),800000
Blk 293 Bishan Street 22,   1998,102 sqm / $711 psf(Built),780000
Blk 441 Sin Ming Avenue,   1990,114 sqm / $676 psf(Built),830000
Blk 501 Bishan Street 11,   1989,103 sqm / $602 psf(Built),668000
Blk 266 Bishan Street 24,   1992,112 sqm / $653 psf(Built),788000
Blk 122 Bishan Street 12,   1986,104 sqm / $603 psf(Built),675000
